InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
539157,22752,SET 7 BABUSHKA NESTING BOXES,4,10/30/2024 00:00,7.65,12295.0,France
542736,22150,3 STRIPEY MICE FELTCRAFT,10,07/17/2024 00:00,1.65,12669.0,United Kingdom
543293,22632,HAND WARMER RED POLKA DOT,15,09/19/2024 00:00,1.85,12742.0,United Kingdom
537597,84029E,RED WOOLLY HOTTIE WHITE HEART,6,05/10/2024 00:00,3.75,12125.0,United Kingdom
540074,22745,POPPY'S PLAYHOUSE BEDROOM,13,11/26/2024 00:00,2.1,12381.0,Spain
542599,22633,HAND WARMER UNION JACK,12,01/09/2024 00:00,1.85,12655.0,Belgium
538207,22633,HAND WARMER UNION JACK,10,12/26/2023 00:00,1.85,12196.0,Netherlands
540164,84406B,CREAM CUPID HEARTS COAT HANGER,5,06/02/2024 00:00,2.75,12385.0,Ireland
536876,22748,POPPY'S PLAYHOUSE KITCHEN,7,12/03/2024 00:00,2.1,12049.0,United Kingdom
540367,71053,WHITE METAL LANTERN,9,10/16/2024 00:00,3.39,12409.0,United Kingdom
542162,84879,ASSORTED COLOUR BIRD ORNAMENT,14,08/05/2024 00:00,1.69,12613.0,United Kingdom
539499,84029E,RED WOOLLY HOTTIE WHITE HEART,9,12/30/2023 00:00,3.75,12325.0,United Kingdom
539437,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12/12/2023 00:00,1.69,12321.0,United Kingdom
543769,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,5,11/08/2024 00:00,3.75,12799.0,Belgium
542850,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,09/05/2024 00:00,4.25,12688.0,United Kingdom
541272,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,12/12/2023 00:00,3.75,12502.0,France
538456,71053,WHITE METAL LANTERN,5,12/24/2023 00:00,3.39,12218.0,Netherlands
539921,21212,PACK OF 72 RETRO SPOT CAKE CASES,5,10/31/2024 00:00,0.55,12363.0,Netherlands
538599,84879,ASSORTED COLOUR BIRD ORNAMENT,10,09/16/2024 00:00,1.69,12229.0,United Kingdom
537153,22632,HAND WARMER RED POLKA DOT,13,04/13/2024 00:00,1.85,12074.0,United Kingdom
541272,22748,POPPY'S PLAYHOUSE KITCHEN,10,12/12/2023 00:00,2.1,12502.0,France
542999,22748,POPPY'S PLAYHOUSE KITCHEN,9,07/10/2024 00:00,2.1,12707.0,Portugal
543459,84029E,RED WOOLLY HOTTIE WHITE HEART,14,07/17/2024 00:00,3.75,12760.0,Portugal
539295,84879,ASSORTED COLOUR BIRD ORNAMENT,8,08/18/2024 00:00,1.69,12308.0,United Kingdom
542466,84406B,CREAM CUPID HEARTS COAT HANGER,2,09/22/2024 00:00,2.75,12645.0,United Kingdom
536519,22150,3 STRIPEY MICE FELTCRAFT,2,12/11/2023 00:00,1.65,12016.0,Portugal
543035,22748,POPPY'S PLAYHOUSE KITCHEN,13,11/25/2024 00:00,2.1,12708.0,United Kingdom
538602,22745,POPPY'S PLAYHOUSE BEDROOM,8,05/04/2024 00:00,2.1,12229.0,United Kingdom
536592,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/17/2023 00:00,3.75,12022.0,France
542132,22752,SET 7 BABUSHKA NESTING BOXES,3,09/24/2024 00:00,7.65,12608.0,France
539222,84029E,RED WOOLLY HOTTIE WHITE HEART,8,12/22/2023 00:00,3.75,12303.0,United Kingdom
537611,21212,PACK OF 72 RETRO SPOT CAKE CASES,18,06/23/2024 00:00,0.55,12127.0,Germany
542460,22632,HAND WARMER RED POLKA DOT,6,11/29/2024 00:00,1.85,12644.0,United Kingdom
539387,22745,POPPY'S PLAYHOUSE BEDROOM,10,11/08/2024 00:00,2.1,12317.0,United Kingdom
540391,22745,POPPY'S PLAYHOUSE BEDROOM,8,10/10/2024 00:00,2.1,12413.0,United Kingdom
539271,84879,ASSORTED COLOUR BIRD ORNAMENT,1,11/26/2024 00:00,1.69,12306.0,United Kingdom
537976,84029E,RED WOOLLY HOTTIE WHITE HEART,1,11/25/2024 00:00,3.75,12176.0,United Kingdom
543277,84406B,CREAM CUPID HEARTS COAT HANGER,10,03/25/2024 00:00,2.75,12740.0,United Kingdom
538783,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,9,12/13/2023 00:00,3.75,12243.0,United Kingdom
539596,84029E,RED WOOLLY HOTTIE WHITE HEART,10,09/28/2024 00:00,3.75,12334.0,United Kingdom
539099,22633,HAND WARMER UNION JACK,1,11/15/2024 00:00,1.85,12288.0,Portugal
539308,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,09/26/2024 00:00,4.25,12310.0,United Kingdom
543640,84029E,RED WOOLLY HOTTIE WHITE HEART,17,10/31/2024 00:00,3.75,12787.0,United Kingdom
543169,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,12/24/2023 00:00,3.75,12727.0,Portugal
538258,22748,POPPY'S PLAYHOUSE KITCHEN,9,10/14/2024 00:00,2.1,12200.0,Belgium
541036,22752,SET 7 BABUSHKA NESTING BOXES,9,10/14/2024 00:00,7.65,12476.0,Belgium
541594,84406B,CREAM CUPID HEARTS COAT HANGER,11,10/10/2024 00:00,2.75,12547.0,United Kingdom
537661,22632,HAND WARMER RED POLKA DOT,7,08/18/2024 00:00,1.85,12137.0,United Kingdom
542351,22748,POPPY'S PLAYHOUSE KITCHEN,9,04/30/2024 00:00,2.1,12638.0,Australia
540420,22748,POPPY'S PLAYHOUSE KITCHEN,8,10/15/2024 00:00,2.1,12416.0,United Kingdom
541697,22745,POPPY'S PLAYHOUSE BEDROOM,6,09/05/2024 00:00,2.1,12558.0,Ireland
543270,21730,GLASS STAR FROSTED T-LIGHT HOLDER,9,08/19/2024 00:00,4.25,12737.0,France
540595,21730,GLASS STAR FROSTED T-LIGHT HOLDER,9,09/24/2024 00:00,4.25,12433.0,United Kingdom
537080,22748,POPPY'S PLAYHOUSE KITCHEN,8,12/24/2023 00:00,2.1,12068.0,France
538181,22745,POPPY'S PLAYHOUSE BEDROOM,2,07/28/2024 00:00,2.1,12190.0,France
542311,22633,HAND WARMER UNION JACK,11,08/17/2024 00:00,1.85,12632.0,United Kingdom
538832,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,11/25/2024 00:00,3.75,12250.0,United Kingdom
539501,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,11/06/2024 00:00,2.55,12325.0,United Kingdom
543664,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2,11/16/2024 00:00,3.75,12788.0,France
543203,84879,ASSORTED COLOUR BIRD ORNAMENT,3,10/29/2024 00:00,1.69,12729.0,France
543074,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,06/17/2024 00:00,4.25,12711.0,United Kingdom
543157,22748,POPPY'S PLAYHOUSE KITCHEN,5,11/30/2024 00:00,2.1,12721.0,United Kingdom
537000,22632,HAND WARMER RED POLKA DOT,12,07/26/2024 00:00,1.85,12061.0,United Kingdom
542050,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,03/12/2024 00:00,3.75,12601.0,United Kingdom
542403,84879,ASSORTED COLOUR BIRD ORNAMENT,2,12/04/2023 00:00,1.69,12643.0,United Kingdom
537120,22748,POPPY'S PLAYHOUSE KITCHEN,13,08/31/2024 00:00,2.1,12072.0,United Kingdom
542166,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,5,07/23/2024 00:00,3.75,12613.0,United Kingdom
540262,84879,ASSORTED COLOUR BIRD ORNAMENT,14,12/06/2023 00:00,1.69,12397.0,Ireland
542348,22752,SET 7 BABUSHKA NESTING BOXES,3,12/13/2023 00:00,7.65,12638.0,Australia
539037,84029E,RED WOOLLY HOTTIE WHITE HEART,11,07/27/2024 00:00,3.75,12281.0,United Kingdom
543027,22633,HAND WARMER UNION JACK,11,02/16/2024 00:00,1.85,12708.0,United Kingdom
543060,84406B,CREAM CUPID HEARTS COAT HANGER,9,12/11/2023 00:00,2.75,12711.0,United Kingdom
541482,21730,GLASS STAR FROSTED T-LIGHT HOLDER,17,08/15/2024 00:00,4.25,12533.0,United Kingdom
540520,22632,HAND WARMER RED POLKA DOT,10,08/16/2024 00:00,1.85,12425.0,Spain
543762,84406B,CREAM CUPID HEARTS COAT HANGER,17,04/13/2024 00:00,2.75,12799.0,Belgium
541379,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,11/13/2024 00:00,3.75,12517.0,France
537919,21212,PACK OF 72 RETRO SPOT CAKE CASES,4,10/08/2024 00:00,0.55,12167.0,United Kingdom
C538963,84879,ASSORTED COLOUR BIRD ORNAMENT,-1,07/29/2024 00:00,1.69,12271.0,France
537270,22748,POPPY'S PLAYHOUSE KITCHEN,5,08/11/2024 00:00,2.1,12086.0,United Kingdom
539612,21212,PACK OF 72 RETRO SPOT CAKE CASES,12,01/28/2024 00:00,0.55,12335.0,Belgium
537568,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,11/29/2024 00:00,4.25,12122.0,Portugal
540981,84029E,RED WOOLLY HOTTIE WHITE HEART,6,06/05/2024 00:00,3.75,12469.0,Germany
538497,84879,ASSORTED COLOUR BIRD ORNAMENT,8,06/19/2024 00:00,1.69,12220.0,Australia
537141,22633,HAND WARMER UNION JACK,5,05/21/2024 00:00,1.85,12074.0,United Kingdom
539502,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,12/09/2023 00:00,3.75,12325.0,United Kingdom
538288,22150,3 STRIPEY MICE FELTCRAFT,7,10/20/2024 00:00,1.65,12203.0,United Kingdom
542741,84406B,CREAM CUPID HEARTS COAT HANGER,3,10/17/2024 00:00,2.75,12669.0,United Kingdom
539839,22150,3 STRIPEY MICE FELTCRAFT,1,06/06/2024 00:00,1.65,12356.0,United Kingdom
540266,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,12/07/2023 00:00,4.25,12397.0,Ireland
537397,22632,HAND WARMER RED POLKA DOT,6,02/24/2024 00:00,1.85,12103.0,France
540130,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,12/09/2023 00:00,3.75,12384.0,Netherlands
543444,84406B,CREAM CUPID HEARTS COAT HANGER,3,12/03/2023 00:00,2.75,12760.0,Portugal
540993,22745,POPPY'S PLAYHOUSE BEDROOM,1,11/01/2024 00:00,2.1,12470.0,Germany
540693,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,10,04/25/2024 00:00,3.75,12441.0,United Kingdom
539210,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,09/29/2024 00:00,3.75,12301.0,United Kingdom
541013,84879,ASSORTED COLOUR BIRD ORNAMENT,11,07/09/2024 00:00,1.69,12473.0,Belgium
541785,84879,ASSORTED COLOUR BIRD ORNAMENT,12,12/27/2023 00:00,1.69,12566.0,United Kingdom
540045,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,12/02/2023 00:00,2.55,12377.0,Netherlands
541461,22745,POPPY'S PLAYHOUSE BEDROOM,10,05/04/2024 00:00,2.1,12529.0,Germany
543477,21730,GLASS STAR FROSTED T-LIGHT HOLDER,9,04/22/2024 00:00,4.25,12762.0,United Kingdom
540182,71053,WHITE METAL LANTERN,8,09/30/2024 00:00,3.39,12386.0,United Kingdom
536753,22745,POPPY'S PLAYHOUSE BEDROOM,1,04/06/2024 00:00,2.1,12036.0,Netherlands
539417,22633,HAND WARMER UNION JACK,7,12/13/2023 00:00,1.85,12320.0,United Kingdom
542878,21730,GLASS STAR FROSTED T-LIGHT HOLDER,17,10/09/2024 00:00,4.25,12690.0,United Kingdom
541056,22745,POPPY'S PLAYHOUSE BEDROOM,11,12/23/2023 00:00,2.1,12480.0,Germany
542288,22752,SET 7 BABUSHKA NESTING BOXES,15,12/30/2023 00:00,7.65,12632.0,United Kingdom
538522,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,10/02/2024 00:00,2.55,12224.0,United Kingdom
536904,21212,PACK OF 72 RETRO SPOT CAKE CASES,5,12/27/2023 00:00,0.55,12050.0,France
537484,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,12/07/2023 00:00,4.25,12111.0,United Kingdom
538172,22632,HAND WARMER RED POLKA DOT,1,08/17/2024 00:00,1.85,12190.0,France
C536649,22752,SET 7 BABUSHKA NESTING BOXES,-11,09/21/2024 00:00,7.65,12028.0,United Kingdom
540110,21212,PACK OF 72 RETRO SPOT CAKE CASES,5,09/13/2024 00:00,0.55,12382.0,Germany
541018,84029E,RED WOOLLY HOTTIE WHITE HEART,7,07/07/2024 00:00,3.75,12473.0,Belgium
543107,22633,HAND WARMER UNION JACK,14,06/05/2024 00:00,1.85,12713.0,Italy
538977,22748,POPPY'S PLAYHOUSE KITCHEN,11,12/03/2023 00:00,2.1,12273.0,France
540932,22745,POPPY'S PLAYHOUSE BEDROOM,10,10/21/2024 00:00,2.1,12468.0,Belgium
537557,71053,WHITE METAL LANTERN,10,09/11/2024 00:00,3.39,12122.0,Portugal
539651,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,09/06/2024 00:00,2.55,12337.0,Australia
539245,22752,SET 7 BABUSHKA NESTING BOXES,7,08/29/2024 00:00,7.65,12304.0,France
536434,22150,3 STRIPEY MICE FELTCRAFT,2,09/28/2024 00:00,1.65,12005.0,Italy
543355,22745,POPPY'S PLAYHOUSE BEDROOM,13,09/21/2024 00:00,2.1,12749.0,Ireland
537434,84406B,CREAM CUPID HEARTS COAT HANGER,13,12/02/2023 00:00,2.75,12104.0,United Kingdom
543068,84406B,CREAM CUPID HEARTS COAT HANGER,9,09/18/2024 00:00,2.75,12711.0,United Kingdom
542197,84029E,RED WOOLLY HOTTIE WHITE HEART,2,06/12/2024 00:00,3.75,12623.0,United Kingdom
541955,22633,HAND WARMER UNION JACK,9,09/26/2024 00:00,1.85,12592.0,Portugal
536702,84029E,RED WOOLLY HOTTIE WHITE HEART,3,10/11/2024 00:00,3.75,12033.0,Netherlands
542249,84406B,CREAM CUPID HEARTS COAT HANGER,1,06/18/2024 00:00,2.75,12629.0,Germany
541825,21212,PACK OF 72 RETRO SPOT CAKE CASES,9,01/18/2024 00:00,0.55,12570.0,United Kingdom
538948,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,08/12/2024 00:00,3.75,12267.0,Portugal
537915,21212,PACK OF 72 RETRO SPOT CAKE CASES,11,04/04/2024 00:00,0.55,12167.0,United Kingdom
543520,84406B,CREAM CUPID HEARTS COAT HANGER,4,12/23/2023 00:00,2.75,12768.0,France
542182,71053,WHITE METAL LANTERN,3,06/25/2024 00:00,3.39,12616.0,United Kingdom
540210,21730,GLASS STAR FROSTED T-LIGHT HOLDER,16,10/16/2024 00:00,4.25,12391.0,United Kingdom
540362,22752,SET 7 BABUSHKA NESTING BOXES,9,09/12/2024 00:00,7.65,,United Kingdom
541136,22150,3 STRIPEY MICE FELTCRAFT,9,09/08/2024 00:00,1.65,12487.0,United Kingdom
540105,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,17,05/05/2024 00:00,3.75,12382.0,Germany
541043,22745,POPPY'S PLAYHOUSE BEDROOM,10,08/29/2024 00:00,2.1,12477.0,United Kingdom
542901,21730,GLASS STAR FROSTED T-LIGHT HOLDER,11,09/28/2024 00:00,4.25,12696.0,United Kingdom
541086,22150,3 STRIPEY MICE FELTCRAFT,13,09/30/2024 00:00,1.65,12480.0,Germany
539737,84879,ASSORTED COLOUR BIRD ORNAMENT,11,08/11/2024 00:00,1.69,12347.0,Germany
542868,22745,POPPY'S PLAYHOUSE BEDROOM,11,12/12/2023 00:00,2.1,12690.0,United Kingdom
542128,84029E,RED WOOLLY HOTTIE WHITE HEART,10,08/26/2024 00:00,3.75,12608.0,France
540277,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,12,04/24/2024 00:00,3.75,12397.0,Ireland
C537380,84879,ASSORTED COLOUR BIRD ORNAMENT,-7,12/09/2023 00:00,1.69,12103.0,France
543294,22632,HAND WARMER RED POLKA DOT,10,08/22/2024 00:00,1.85,12742.0,United Kingdom
539847,21212,PACK OF 72 RETRO SPOT CAKE CASES,10,03/19/2024 00:00,0.55,12357.0,Portugal
538161,22150,3 STRIPEY MICE FELTCRAFT,5,06/28/2024 00:00,1.65,,France
541404,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,12/07/2023 00:00,2.55,12519.0,United Kingdom
540839,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,10/15/2024 00:00,4.25,12454.0,United Kingdom
541938,84406B,CREAM CUPID HEARTS COAT HANGER,7,01/11/2024 00:00,2.75,12592.0,Portugal
C537740,21212,PACK OF 72 RETRO SPOT CAKE CASES,-16,09/16/2024 00:00,0.55,12147.0,United Kingdom
541534,22752,SET 7 BABUSHKA NESTING BOXES,4,08/18/2024 00:00,7.65,12536.0,United Kingdom
539500,84406B,CREAM CUPID HEARTS COAT HANGER,12,11/07/2024 00:00,2.75,12325.0,United Kingdom
540119,22150,3 STRIPEY MICE FELTCRAFT,6,08/23/2024 00:00,1.65,12382.0,Germany
537397,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,02/24/2024 00:00,4.25,12103.0,France
538848,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,11/20/2024 00:00,4.25,12255.0,United Kingdom
540290,22150,3 STRIPEY MICE FELTCRAFT,5,03/25/2024 00:00,1.65,12397.0,Ireland
536841,22150,3 STRIPEY MICE FELTCRAFT,2,05/25/2024 00:00,1.65,12045.0,Spain
540588,84029E,RED WOOLLY HOTTIE WHITE HEART,2,08/09/2024 00:00,3.75,12431.0,United Kingdom
537046,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,09/11/2024 00:00,2.55,12065.0,United Kingdom
538564,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,10/08/2024 00:00,2.55,12228.0,United Kingdom
C542695,22752,SET 7 BABUSHKA NESTING BOXES,-14,07/30/2024 00:00,7.65,12666.0,Australia
540221,22745,POPPY'S PLAYHOUSE BEDROOM,8,07/11/2024 00:00,2.1,12392.0,Belgium
538768,22150,3 STRIPEY MICE FELTCRAFT,7,05/11/2024 00:00,1.65,12241.0,Germany
541987,84879,ASSORTED COLOUR BIRD ORNAMENT,5,09/07/2024 00:00,1.69,12595.0,Germany
538163,21212,PACK OF 72 RETRO SPOT CAKE CASES,8,12/16/2023 00:00,0.55,12190.0,France
538157,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5,07/22/2024 00:00,3.75,12190.0,France
538903,71053,WHITE METAL LANTERN,1,08/17/2024 00:00,3.39,12260.0,United Kingdom
538261,22745,POPPY'S PLAYHOUSE BEDROOM,2,05/22/2024 00:00,2.1,12201.0,Netherlands
540919,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,14,11/02/2024 00:00,3.75,12467.0,United Kingdom
539582,22632,HAND WARMER RED POLKA DOT,8,03/28/2024 00:00,1.85,12333.0,United Kingdom
537426,22745,POPPY'S PLAYHOUSE BEDROOM,4,09/24/2024 00:00,2.1,,United Kingdom
537442,21212,PACK OF 72 RETRO SPOT CAKE CASES,8,08/25/2024 00:00,0.55,12104.0,United Kingdom
537960,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/20/2023 00:00,3.75,12174.0,Germany
540604,84029E,RED WOOLLY HOTTIE WHITE HEART,10,04/24/2024 00:00,3.75,12434.0,Portugal
543339,84406B,CREAM CUPID HEARTS COAT HANGER,9,09/16/2024 00:00,2.75,12748.0,United Kingdom
542231,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,11/19/2024 00:00,4.25,12627.0,United Kingdom
537476,22633,HAND WARMER UNION JACK,9,07/28/2024 00:00,1.85,12111.0,United Kingdom
542430,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,05/05/2024 00:00,4.25,12644.0,United Kingdom
540602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,07/01/2024 00:00,2.55,12433.0,United Kingdom
536943,84879,ASSORTED COLOUR BIRD ORNAMENT,11,05/20/2024 00:00,1.69,12051.0,United Kingdom
540942,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,09/23/2024 00:00,2.55,12468.0,Belgium
537580,71053,WHITE METAL LANTERN,7,11/29/2024 00:00,3.39,12122.0,Portugal
542074,71053,WHITE METAL LANTERN,1,06/25/2024 00:00,3.39,12602.0,Netherlands
541523,21212,PACK OF 72 RETRO SPOT CAKE CASES,10,09/26/2024 00:00,0.55,,United Kingdom
536678,71053,WHITE METAL LANTERN,9,08/27/2024 00:00,3.39,12030.0,United Kingdom
537961,22752,SET 7 BABUSHKA NESTING BOXES,1,12/11/2023 00:00,7.65,12174.0,Germany
541951,71053,WHITE METAL LANTERN,12,12/04/2023 00:00,3.39,12592.0,Portugal
539759,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/29/2023 00:00,2.1,12349.0,United Kingdom
536425,71053,WHITE METAL LANTERN,5,12/22/2023 00:00,3.39,12005.0,Italy
537021,22748,POPPY'S PLAYHOUSE KITCHEN,8,10/03/2024 00:00,2.1,12062.0,United Kingdom
537112,84029E,RED WOOLLY HOTTIE WHITE HEART,3,12/05/2023 00:00,3.75,12072.0,United Kingdom
C539261,22745,POPPY'S PLAYHOUSE BEDROOM,-10,04/20/2024 00:00,2.1,12305.0,Netherlands
537921,22633,HAND WARMER UNION JACK,13,11/09/2024 00:00,1.85,12167.0,United Kingdom
537024,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/05/2023 00:00,2.55,12064.0,United Kingdom
538420,22633,HAND WARMER UNION JACK,3,12/17/2023 00:00,1.85,12217.0,France
C537703,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-1,12/07/2023 00:00,4.25,12145.0,United Kingdom
541613,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,03/26/2024 00:00,4.25,12550.0,Italy
537577,22748,POPPY'S PLAYHOUSE KITCHEN,4,12/22/2023 00:00,2.1,12122.0,Portugal
540765,84406B,CREAM CUPID HEARTS COAT HANGER,1,07/26/2024 00:00,2.75,12448.0,Belgium
541935,84406B,CREAM CUPID HEARTS COAT HANGER,3,12/04/2023 00:00,2.75,12592.0,Portugal
537557,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5,09/11/2024 00:00,3.75,12122.0,Portugal
538861,84879,ASSORTED COLOUR BIRD ORNAMENT,3,12/26/2023 00:00,1.69,12257.0,United Kingdom
541198,22633,HAND WARMER UNION JACK,12,11/07/2024 00:00,1.85,12491.0,United Kingdom
536848,84029E,RED WOOLLY HOTTIE WHITE HEART,9,12/18/2023 00:00,3.75,12045.0,Spain
543730,71053,WHITE METAL LANTERN,2,11/07/2024 00:00,3.39,12798.0,United Kingdom
C540692,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-17,12/22/2023 00:00,2.55,12441.0,United Kingdom
536656,22150,3 STRIPEY MICE FELTCRAFT,5,12/24/2023 00:00,1.65,12029.0,United Kingdom
536764,21212,PACK OF 72 RETRO SPOT CAKE CASES,14,08/21/2024 00:00,0.55,12036.0,Netherlands
536903,21212,PACK OF 72 RETRO SPOT CAKE CASES,1,12/12/2023 00:00,0.55,12050.0,France
538026,22745,POPPY'S PLAYHOUSE BEDROOM,9,11/18/2024 00:00,2.1,12178.0,Germany
541053,84406B,CREAM CUPID HEARTS COAT HANGER,13,09/03/2024 00:00,2.75,12479.0,Spain
539844,22633,HAND WARMER UNION JACK,5,09/18/2024 00:00,1.85,12356.0,United Kingdom
542550,22745,POPPY'S PLAYHOUSE BEDROOM,1,03/20/2024 00:00,2.1,12651.0,United Kingdom
537331,22150,3 STRIPEY MICE FELTCRAFT,7,05/08/2024 00:00,1.65,12095.0,Belgium
542178,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3,01/22/2024 00:00,3.75,12616.0,United Kingdom
542234,22752,SET 7 BABUSHKA NESTING BOXES,7,10/31/2024 00:00,7.65,12628.0,United Kingdom
541902,22745,POPPY'S PLAYHOUSE BEDROOM,14,10/09/2024 00:00,2.1,12584.0,United Kingdom
C540108,22745,POPPY'S PLAYHOUSE BEDROOM,-8,11/08/2024 00:00,2.1,12382.0,Germany
541466,84879,ASSORTED COLOUR BIRD ORNAMENT,10,05/23/2024 00:00,1.69,12530.0,Australia
540159,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/12/2023 00:00,2.1,12385.0,Ireland
539050,22748,POPPY'S PLAYHOUSE KITCHEN,4,05/09/2024 00:00,2.1,12282.0,Germany
542871,22150,3 STRIPEY MICE FELTCRAFT,10,09/29/2024 00:00,1.65,12690.0,United Kingdom
C541850,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-8,09/18/2024 00:00,4.25,12578.0,Belgium
540106,22150,3 STRIPEY MICE FELTCRAFT,7,12/09/2023 00:00,1.65,12382.0,Germany
542587,22745,POPPY'S PLAYHOUSE BEDROOM,6,08/26/2024 00:00,2.1,12655.0,Belgium
537455,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,10/30/2024 00:00,2.55,12106.0,United Kingdom
540786,84029E,RED WOOLLY HOTTIE WHITE HEART,12,12/27/2023 00:00,3.75,12449.0,United Kingdom
542430,84406B,CREAM CUPID HEARTS COAT HANGER,14,05/05/2024 00:00,2.75,12644.0,United Kingdom
